doi,UT,title_fix
10.1103/PhysRevLett.127.082001,nan,Observation of New Resonances Decaying to J/¦×K+ and J/¦×?
10.1103/PhysRevB.104.054424,nan,Ubiquity of amplitude-modulated magnetic ordering in the H?T phase diagram of the frustrated non-Fermi-liquid YbAgGe
10.1103/PhysRevB.104.075130,nan,Local measures of dynamical quantum phase transitions
10.1103/PhysRevApplied.16.024029,nan,Magnetic-Gradient-Free Two-Axis Control of a Valley Spin Qubit in SixGe1?x
10.1103/PhysRevLett.127.080601,nan,Thermodynamic Uncertainty Relation Bounds the Extent of Anomalous Diffusion
10.1103/PhysRevLett.127.084301,nan,Three-Dimensional Soundproof Acoustic Metacage
10.1103/PhysRevLett.127.074502,nan,Self-Propulsion of Boiling Droplets on Thin Heated Oil Films
10.1103/PhysRevD.104.036006,nan,Positive moments for scattering amplitudes
10.1103/PhysRevD.104.044041,nan,Superposed metric for spinning black hole binaries approaching merger
10.1103/PhysRevB.104.054111,nan,Characterization of Er3+:YVO4 for microwave to optical transduction
10.1103/PhysRevA.104.022208,nan,Parameter estimation of time and frequency shifts with generalized Hong-Ou-Mandel interferometry
10.1103/PhysRevMaterials.5.084406,nan,Imaging the spin chirality of ferrimagnetic N¨¦el skyrmions stabilized on topological antiferromagnetic Mn3Sn
10.1103/PhysRevApplied.16.024024,nan,Optically Enhanced Electric Field Sensing Using Nitrogen-Vacancy Ensembles
10.1103/PhysRevA.104.022207,nan,Born's rule as a quantum extension of Bayesian coherence
10.1103/PhysRevB.104.064106,nan,Revealing pressure-driven structural transitions in the hybrid improper ferroelectric Sr3Sn2O7
10.1103/PhysRevB.104.085120,nan,Dynamical vertex approximation for many-electron systems with spontaneously broken SU(2) symmetry
10.1103/PhysRevA.104.022411,nan,Quantum analysis of polarization entanglement degradation induced by multiple-photon-pair generation
10.1103/PhysRevMaterials.5.083802,nan,Machine learning band gaps from the electron density
10.1103/PhysRevC.104.024001,nan,"Neutron-neutron scattering length from the He6(p,p¦Á)nn reaction"
10.1103/PhysRevMaterials.5.084402,nan,Balancing orbital effects and on-site Coulomb repulsion through Na modulations in NaxVO2
10.1103/PhysRevC.104.024312,nan,Nucleon-pair approximation for nuclei from spherical to deformed regions
10.1103/PhysRevApplied.16.014067,nan,Adaptive-Optics-Enabled Quantum Communication: A Technique for Daytime Space-To-Earth Links
10.1103/PRXQuantum.2.030330,,Using an Atom Interferometer to Infer Gravitational Entanglement Generation
10.1103/PhysRevE.104.014605,nan,Two-dimensional Brownian motion of anisotropic dimers
10.1103/PhysRevLett.127.088003,,Dynamic Speckle Holography
10.1103/PhysRevApplied.15.064015,nan,Voltage-Gate-Assisted Spin-Orbit-Torque Magnetic Random-Access Memory for High-Density and Low-Power Embedded Applications
10.1103/PhysRevAccelBeams.24.054001,nan,Trapping of neutral molecules by the beam electromagnetic field
10.1103/PhysRevLett.127.081101,,Solving the Paradox of the Solar Sodium D1 Line Polarization
10.1103/PhysRevLett.127.081601,,Where Is String Theory in the Space of Scattering Amplitudes?
10.1103/PhysRevFluids.6.084101,,Relaxation of a fluid-filled blister on a porous substrate
10.1103/PhysRevD.104.032004,,Point proposal network for reconstructing 3D particle endpoints with subpixel precision in liquid argon time projection chambers
10.1103/PhysRevB.104.075132,,Intrinsically gapless topological phases
